              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-01-01T14:21:00+00:00       93.741341                            0.0       238.238571          33.500843    31.890549             4.073067                        981.139771             6.174808                     0.000000             250.506012               2.109611                        5.0  0.799539              31.970039               29.751541              3.502350      0.001557                                25.0
2023-01-01T14:31:00+00:00       93.623192                            0.0       251.285767          33.617050    31.974579             8.083673                        981.427429             6.883526                     0.000000             251.563416               2.133244                        5.0  0.801889              32.152561               29.725899              3.100076      0.000000                                25.0
2023-01-01T14:41:00+00:00       93.433189                            0.0       246.022308          33.638321    31.945244             7.498492                        981.476868             6.986367                     0.000000             246.048248               2.135008                        5.0  0.804239              32.156998               29.723984              2.697803      0.000000                                25.0
2023-01-01T14:51:00+00:00       93.155769                            0.0       259.309052          33.633648    31.866789             7.046877                        981.555908             7.499094                     0.000000             267.230621               2.162512                        5.0  0.804239              32.271851               29.694128              2.697803      0.000000                                25.0
2023-01-01T15:01:00+00:00       92.908363                            0.0       246.552460          33.641441    31.808519             6.484756                        981.512329             7.641176                     0.000000             252.799332               2.160191                        5.0  0.804911              32.165840               29.696648              2.582868      0.000000                                25.0
2023-01-01T15:11:00+00:00       92.741310                            0.0       254.211487          33.633667    31.756155             8.746592                        981.820923             7.863194                     0.000000             247.403351               2.199975                        5.0  0.800882              32.478527               29.653431              3.272479      0.000000                                25.0
2023-01-01T15:21:00+00:00       92.491798                            0.0       260.895905          33.627548    31.683264            10.173672                        982.015381             8.240438                     0.000000             260.381683               2.239958                        5.0  0.798532              32.710102               29.609964              3.674752      0.000000                                25.0
2023-01-01T15:31:00+00:00       92.075272                            0.0       254.514114          33.772182    31.714640             9.524642                        981.865356             7.266464                     0.000000             252.256256               2.294517                        5.0  0.799539              32.744904               29.550592              3.502350      0.000000                                25.0
2023-01-01T15:41:00+00:00       92.046074                            0.0       257.133942          33.762962    31.697641             9.054694                        982.085571             9.146849                     0.000000             250.290710               2.328431                        5.0  0.800211              33.039471               29.513655              3.387414      0.000000                                25.0
2023-01-01T15:51:00+00:00       92.013168                            0.0       249.987366          33.892673    31.817261             7.559050                        982.187317             9.123804                     0.000000             269.944580               2.307109                        5.0  0.797861              34.041203               29.536880              3.789688      0.000000                                25.0
