[103]	validation_0-rmse:3.66379	validation_0-mae:2.48269	validation_1-rmse:4.33178	validation_1-mae:2.83523
[104]	validation_0-rmse:3.65622	validation_0-mae:2.47776	validation_1-rmse:4.32744	validation_1-mae:2.83199
[105]	validation_0-rmse:3.64882	validation_0-mae:2.47272	validation_1-rmse:4.32365	validation_1-mae:2.82885
[106]	validation_0-rmse:3.64195	validation_0-mae:2.46791	validation_1-rmse:4.31998	validation_1-mae:2.82573
[107]	validation_0-rmse:3.63499	validation_0-mae:2.46302	validation_1-rmse:4.31595	validation_1-mae:2.82243
[108]	validation_0-rmse:3.62754	validation_0-mae:2.45811	validation_1-rmse:4.31178	validation_1-mae:2.81905
[109]	validation_0-rmse:3.61993	validation_0-mae:2.45333	validation_1-rmse:4.30781	validation_1-mae:2.81618
[110]	validation_0-rmse:3.61236	validation_0-mae:2.44848	validation_1-rmse:4.30372	validation_1-mae:2.81326
[111]	validation_0-rmse:3.60530	validation_0-mae:2.44391	validation_1-rmse:4.30004	validation_1-mae:2.81037
[112]	validation_0-rmse:3.59718	validation_0-mae:2.43863	validation_1-rmse:4.29543	validation_1-mae:2.80703
[113]	validation_0-rmse:3.59061	validation_0-mae:2.43393	validation_1-rmse:4.29193	validation_1-mae:2.80398
[114]	validation_0-rmse:3.58283	validation_0-mae:2.42874	validation_1-rmse:4.28783	validation_1-mae:2.80058
[115]	validation_0-rmse:3.57742	validation_0-mae:2.42503	validation_1-rmse:4.28508	validation_1-mae:2.79834
[116]	validation_0-rmse:3.56982	validation_0-mae:2.42030	validation_1-rmse:4.28135	validation_1-mae:2.79560
[117]	validation_0-rmse:3.56380	validation_0-mae:2.41606	validation_1-rmse:4.27822	validation_1-mae:2.79288
[118]	validation_0-rmse:3.55699	validation_0-mae:2.41156	validation_1-rmse:4.27438	validation_1-mae:2.78989
[119]	validation_0-rmse:3.54917	validation_0-mae:2.40671	validation_1-rmse:4.27003	validation_1-mae:2.78675
[120]	validation_0-rmse:3.54260	validation_0-mae:2.40224	validation_1-rmse:4.26635	validation_1-mae:2.78406
[121]	validation_0-rmse:3.53540	validation_0-mae:2.39766	validation_1-rmse:4.26278	validation_1-mae:2.78132
[122]	validation_0-rmse:3.52840	validation_0-mae:2.39303	validation_1-rmse:4.25950	validation_1-mae:2.77870
[123]	validation_0-rmse:3.52134	validation_0-mae:2.38836	validation_1-rmse:4.25552	validation_1-mae:2.77566
[124]	validation_0-rmse:3.51410	validation_0-mae:2.38398	validation_1-rmse:4.25147	validation_1-mae:2.77286
[125]	validation_0-rmse:3.50721	validation_0-mae:2.37971	validation_1-rmse:4.24791	validation_1-mae:2.77041
[126]	validation_0-rmse:3.50116	validation_0-mae:2.37577	validation_1-rmse:4.24512	validation_1-mae:2.76798
[127]	validation_0-rmse:3.49485	validation_0-mae:2.37185	validation_1-rmse:4.24190	validation_1-mae:2.76563
[128]	validation_0-rmse:3.48925	validation_0-mae:2.36817	validation_1-rmse:4.23898	validation_1-mae:2.76345
[129]	validation_0-rmse:3.48238	validation_0-mae:2.36382	validation_1-rmse:4.23569	validation_1-mae:2.76098
[130]	validation_0-rmse:3.47614	validation_0-mae:2.35970	validation_1-rmse:4.23204	validation_1-mae:2.75830
[131]	validation_0-rmse:3.47001	validation_0-mae:2.35578	validation_1-rmse:4.22881	validation_1-mae:2.75598
[132]	validation_0-rmse:3.46399	validation_0-mae:2.35164	validation_1-rmse:4.22548	validation_1-mae:2.75344
[133]	validation_0-rmse:3.45855	validation_0-mae:2.34792	validation_1-rmse:4.22262	validation_1-mae:2.75121
[134]	validation_0-rmse:3.45220	validation_0-mae:2.34387	validation_1-rmse:4.21927	validation_1-mae:2.74880
[135]	validation_0-rmse:3.44707	validation_0-mae:2.34055	validation_1-rmse:4.21674	validation_1-mae:2.74696
[136]	validation_0-rmse:3.44052	validation_0-mae:2.33661	validation_1-rmse:4.21359	validation_1-mae:2.74499
[137]	validation_0-rmse:3.43467	validation_0-mae:2.33289	validation_1-rmse:4.21057	validation_1-mae:2.74283
[138]	validation_0-rmse:3.42814	validation_0-mae:2.32906	validation_1-rmse:4.20750	validation_1-mae:2.74062
[139]	validation_0-rmse:3.42257	validation_0-mae:2.32550	validation_1-rmse:4.20525	validation_1-mae:2.73874
[140]	validation_0-rmse:3.41584	validation_0-mae:2.32120	validation_1-rmse:4.20209	validation_1-mae:2.73622
[141]	validation_0-rmse:3.40966	validation_0-mae:2.31738	validation_1-rmse:4.19880	validation_1-mae:2.73399
[142]	validation_0-rmse:3.40307	validation_0-mae:2.31328	validation_1-rmse:4.19543	validation_1-mae:2.73145
[143]	validation_0-rmse:3.39665	validation_0-mae:2.30917	validation_1-rmse:4.19244	validation_1-mae:2.72913
[144]	validation_0-rmse:3.39087	validation_0-mae:2.30539	validation_1-rmse:4.18965	validation_1-mae:2.72691
[145]	validation_0-rmse:3.38572	validation_0-mae:2.30196	validation_1-rmse:4.18742	validation_1-mae:2.72508
[146]	validation_0-rmse:3.37947	validation_0-mae:2.29803	validation_1-rmse:4.18427	validation_1-mae:2.72263
[147]	validation_0-rmse:3.37400	validation_0-mae:2.29464	validation_1-rmse:4.18151	validation_1-mae:2.72078
[148]	validation_0-rmse:3.36780	validation_0-mae:2.29082	validation_1-rmse:4.17850	validation_1-mae:2.71853
[149]	validation_0-rmse:3.36254	validation_0-mae:2.28730	validation_1-rmse:4.17602	validation_1-mae:2.71652
[150]	validation_0-rmse:3.35661	validation_0-mae:2.28344	validation_1-rmse:4.17266	validation_1-mae:2.71418
